"Issue No.","Requirement","Scenario","Defect","Score","Work Estimate"
"ISSUE-044","CA-REQ-015","Static linting against OpenAPI standards yields no errors","Key 'info' is missing 'contact'","2","2"
"ISSUE-045","CA-REQ-015","Static linting against OpenAPI standards yields no errors","Key 'servers' is not present","2","2"
"ISSUE-046","CA-REQ-017","An audit trail allows clear transaction history to be viewed for at least 7 years","Multiple entities can be deleted with no record of their having existed","7","21"
"ISSUE-047","CA-REQ-018","Transaction events are logged and searchable","No records are kept of changes being made","7","21"
"ISSUE-048","CA-REQ-022","Controls are in place to restrict addition of new users","No approvals are required to justify a new user. No signup reason is recorded","7","21"
"ISSUE-049","CA-REQ-022","Controls are in place to restrict addition of new users","No record is kept of who created a new user or why","7","5"
"ISSUE-050","CA-REQ-022","Controls are in place to restrict addition of new users","No justification or reason is recorded when a user is deactivated","7","5"
"ISSUE-051","CA-REQ-026","Data access is controlled with RBAC on the principle of least privilege","No ability exists to change or revoke a user's role","7","3"
"ISSUE-052","CA-REQ-026","Data access is controlled with RBAC on the principle of least privilege","User accounts and roles have no scheduled expiration or review mandated","4","13"
"ISSUE-053","CA-REQ-026","Data access is controlled with RBAC on the principle of least privilege","No ability exists to restore a deactivated user","4","5"
"ISSUE-054","CA-REQ-026","Data access is controlled with RBAC on the principle of least privilege","Endpoint protection applies a ranking system to roles assuming each inherits the privileges of the last. Roles should be accumulated instead of using inheritance.","7","5"
"ISSUE-055","CA-REQ-027","Data at-rest is encrypted","No encryption is enforced at application level. No instruction to implement DB-level encryption is present","5","2"
"ISSUE-056","CA-REQ-028","All API requests are logged","No logger is used","5","8"
"ISSUE-057","CA-REQ-029","No extraneous information is exposed","The health check endpoint lists quantity totals of records in each table","7","1"
"ISSUE-058","CA-REQ-031","Primary key columns are complex and unique strings (UUID)","Primary key columns are integers","7","13"
"ISSUE-059","CA-REQ-033","Database actions like transactions are compatible with Oracle","In some cases database interaction logic is contained in the API endpoint instead of being abstracted. This will be re-written to work cross-platform","7","13"
"ISSUE-060","CA-REQ-033","Database actions like transactions are compatible with Oracle","No control on where seeds will run, seed file runs on every restart","7","3"
"ISSUE-061","CA-REQ-046","Users can query individual cost centres by ID","Negative integers are accepted as IDs","5","3"
"ISSUE-062","CA-REQ-059","Admins can lock an allocation period","Attempts to lock an already locked allocation result in a 400 error","3","1"
"ISSUE-063","CA-REQ-070","Strong CORs controls and other header settings are used","CORs headers use wildcards with no restrictions","7","5"
"ISSUE-064","CA-REQ-071","Environment and config variables are securely handled","Application has no capacity to read in a credentials service","7","13"
"ISSUE-065","CA-REQ-071","Environment and config variables are securely handled","Use of enum types which are not abstracted to a constants file potentially leading to code drift and security control breakdown","3","5"
"ISSUE-066","CA-REQ-071","Environment and config variables are securely handled","Application loads credentials using a relative path","5","2"
"ISSUE-067","CA-REQ-071","Environment and config variables are securely handled","Application does not use a safe credentials loader such as ConfigParser potentially leading to secrets injection or logic faults","5","8"
"ISSUE-068","CA-REQ-071","Environment and config variables are securely handled","Application holds a JWT secret key hard-coded","6","2"
"ISSUE-069","CA-REQ-072","All database logic is wrapped in at least one exception catch","Majority of endpoints use a generic fallback try/except instead of specific exception cases","4","13"
"ISSUE-070","CA-REQ-073","Database transactions are abstracted via use of an ORM","All database interactions are manual, no ORM or other abstraction is used","6","21"
"ISSUE-071","CA-REQ-073","Database transactions are abstracted via use of an ORM","No SQL injection sanitisation is used anywhere","7","8"
"ISSUE-072","CA-REQ-071","Environment and config variables are securely handled","Application uses hard-coded host URL and port number","6","5"
