"Code","Feature","Requirement","Description"
"CA-REQ-045","Cost Centres","Users can filter all cost centres on their active status","''"
"CA-REQ-046","Cost Centres","Users can query individual cost centres by ID","''"
"CA-REQ-047","Cost Centres","Admins can update a cost centre's non-critical details","''"
"CA-REQ-048","Legal Entities","Admin users can create a new legal entity","''"
"CA-REQ-049","Legal Entities","Cost Centre codes are unique, identifiable and contained to 20 characters","''"
"CA-REQ-050","Legal Entities","Users can request a list of all legal entities","''"
"CA-REQ-051","Legal Entities","Users can query individual legal entities by ID","''"
"CA-REQ-052","Legal Entities","Admins can update a legal entity's non-critical details","''"
"CA-REQ-053","Allocation Periods","Privileged users can create a new allocation period","''"
"CA-REQ-054","Allocation Periods","Each allocation has a unique, identifiable name","''"
"CA-REQ-055","Allocation Periods","Users can get a list of all held allocation periods","''"
"CA-REQ-056","Allocation Periods","Users can filter the list of all periods on mode, status, fiscal year","''"
"CA-REQ-057","Allocation Periods","Query a specific allocation period by ID","''"
"CA-REQ-058","Allocation Periods","Privileged users can update a non-locked allocation period's non-critical details","''"
"CA-REQ-059","Allocation Periods","Admins can lock an allocation period","''"
"CA-REQ-060","Expenses","Privileged users can create an expense on a valid, unlocked allocation period","''"
"CA-REQ-061","Expenses","Users can get a list of expenses by allocation period ID","''"
"CA-REQ-062","Expenses","Users can query a single expense by period ID and expense ID","''"
"CA-REQ-063","Expenses","Privileged users can update non-critical details on an expense attached to an unlocked allocation period","''"
"CA-REQ-064","Expenses","Privileged users can delete an expense on an unlocked allocation period","''"
"CA-REQ-065","Activities","Privileged users can create an allocation activities on a valid, unlocked allocation period","''"
"CA-REQ-066","Activities","Users can get a list of activities by allocation period ID","''"
"CA-REQ-067","Activities","Users can query an activity by period ID and activity ID","''"
"CA-REQ-068","Activities","Privileged users can update non-critical details on an activity attached to an unlocked allocation period","''"
"CA-REQ-069","Activities","Privileged users can delete an activity on an unlocked allocation period","''"
"CA-REQ-070","Security","Strong CORs controls and other header settings are used","''"
"CA-REQ-071","Security","Environment and config variables are securely handled","''"
"CA-REQ-072","Security","Exceptions are well handled and provide meaningful, safe information to the end user","manual"
"CA-REQ-073","Security","Database transactions are abstracted via use of an ORM","''"
"CA-REQ-074","Security","Financial data types are handled safely with regard to integer overflows, floating point errors","''"
