"Requirement","Feature","Scenario","Verification Method"
"CA-REQ-045","Get a list of all cost centres","Returns only active cost centres with the flag set","automatic"
"CA-REQ-046","Get single cost centre by id","Get a cost centre by ID","automatic"
"CA-REQ-046","Get single cost centre by id","Query a missing cost centre","automatic"
"CA-REQ-046","Get single cost centre by id","Get a cost centre with an invalid ID","automatic"
"CA-REQ-047","Update a cost centre","An admin updates a cost centre's details","automatic"
"CA-REQ-047","Update a cost centre","A request for a missing cost centre is rejected","automatic"
"CA-REQ-047","Update a cost centre","An invalid ID is used in an update","automatic"
"CA-REQ-047","Update a cost centre","An unprivileged user updates a cost centre","automatic"
"CA-REQ-043","Update a cost centre","A cost centre code cannot be changed","automatic"
"CA-REQ-048","Creating a new legal entity","Admin users can create a new legal entity","automatic"
"CA-REQ-048","Creating a new legal entity","Non-admins cannot create a legal entity","automatic"
"CA-REQ-049","Creating a new legal entity","Duplicate legal entity codes are rejected","automatic"
"CA-REQ-050","Get a list of all legal entities","returns a list of all held legal entities","automatic, code review"
"CA-REQ-051","Get single legal entity by ID","Get a legal entity by ID","automatic"
"CA-REQ-051","Get single legal entity by ID","Get a legal entity with an invalid ID","automatic"
"CA-REQ-052","Update a legal entity","An admin updates a legal entity's details","automatic"
"CA-REQ-052","Update a legal entity","An invalid ID is used in an update","automatic"
"CA-REQ-053","Creating a new allocation period","Privileged users can create a new allocation period","automatic"
"CA-REQ-053","Creating a new allocation period","Non-analysts cannot create an allocation period","automatic"
"CA-REQ-054","Creating a new allocation period","Duplicate allocation period names are rejected","automatic"
"CA-REQ-055","Get a list of all allocation periods","Get a list of all held allocation periods","automatic"
"CA-REQ-056","Get a list of all allocation periods","Get a list of only specific modes","automatic"
"CA-REQ-056","Get a list of all allocation periods","Get a list of only specific status","automatic"
"CA-REQ-056","Get a list of all allocation periods","Get a list of only specific fiscal year","automatic"
"CA-REQ-056","Get a list of all allocation periods","Get a list of periods with multiple filters","automatic, manual"
"CA-REQ-057","Get single allocation period by ID","Get an allocation period by ID","automatic"
"CA-REQ-057","Get single allocation period by ID","Get an allocation period with an invalid ID","automatic"
"CA-REQ-058","Update an allocation period","A privileged user updates an allocation period's details","automatic"
"CA-REQ-058","Update an allocation period","An invalid ID is used in an update","automatic"
"CA-REQ-058","Update an allocation period","An unprivileged user updates a period","automatic"
"CA-REQ-058","Update an allocation period","Request to update a locked period","automatic"
"CA-REQ-059","lock a period","An admin locks an allocation period","automatic"
"CA-REQ-059","lock a period","An unprivileged user locks an allocation period","automatic"
"CA-REQ-059","lock a period","An invalid ID is used to lock a period","automatic"
"CA-REQ-059","lock a period","An admin locks an allocation period which is already locked","automatic"
"CA-REQ-060","Create an expense","A privileged user creates an expense","automatic"
"CA-REQ-060","Create an expense","An unprivileged user creates an expense","automatic"
"CA-REQ-060","Create an expense","A request to an invalid allocation period ID is made","automatic"
"CA-REQ-060","Create an expense","A request to a locked allocation period is made","automatic"
"CA-REQ-061","get all expenses","Get a list of expenses by allocation period ID","automatic"
"CA-REQ-061","get all expenses","Get a list of expenses with an invalid allocation period ID","automatic"
"CA-REQ-062","get single expense","Get an expense by ID","automatic"
"CA-REQ-062","get single expense","Get an expense with an invalid expense ID","automatic"
"CA-REQ-062","get single expense","Get an expense with an invalid period ID","automatic"
"CA-REQ-063","Update an expense","A privileged user updates an expense","automatic"
"CA-REQ-063","Update an expense","An unprivileged user updates an expense","automatic"
"CA-REQ-063","Update an expense","A request to an invalid allocation period ID is made","automatic"
"CA-REQ-063","Update an expense","A request to an invalid expense ID is made","automatic"
"CA-REQ-063","Update an expense","A request to a locked allocation period is made","automatic"
"CA-REQ-064","Delete an expense","A privileged user deletes an expense","automatic"
"CA-REQ-064","Delete an expense","An unprivileged user deletes an expense","automatic"
"CA-REQ-064","Delete an expense","A request to an invalid allocation period ID is made","automatic"
"CA-REQ-064","Delete an expense","A request to an invalid expense ID is made","automatic"
"CA-REQ-064","Delete an expense","A request to a locked allocation period is made","automatic"
"CA-REQ-065","Create an activity","A privileged user creates an activity","automatic"
"CA-REQ-065","Create an activity","An unprivileged user creates an activity","automatic"
"CA-REQ-065","Create an activity","A request to an invalid allocation period ID is made","automatic"
"CA-REQ-065","Create an activity","A request to a locked allocation period is made","automatic"
"CA-REQ-066","Get all activities","Get a list of activities by allocation period ID","automatic"
"CA-REQ-066","Get all activities","Get a list of activities with an invalid allocation period ID","automatic"
"CA-REQ-067","Get a single activity by ID","Get an activity by ID","automatic"
"CA-REQ-067","Get a single activity by ID","Get an activity with an invalid activity ID","automatic"
"CA-REQ-067","Get a single activity by ID","Get an activity with an invalid period ID","automatic"
"CA-REQ-068","Update an activity","A privileged user updates an activity","automatic"
"CA-REQ-068","Update an activity","An unprivileged user updates an activity","automatic"
"CA-REQ-068","Update an activity","A request to an invalid allocation period ID is made","automatic"
"CA-REQ-068","Update an activity","A request to an invalid activity ID is made","automatic"
"CA-REQ-068","Update an activity","A request to a locked allocation period is made","automatic"
"CA-REQ-069","Delete an activity","A privileged user deletes an activity","automatic"
"CA-REQ-069","Delete an activity","An unprivileged user deletes an activity","automatic"
"CA-REQ-069","Delete an activity","A request to an invalid allocation period ID is made","automatic"
"CA-REQ-069","Delete an activity","A request to an invalid activity ID is made","automatic"
"CA-REQ-069","Delete an activity","A request to a locked allocation period is made","automatic"
"CA-REQ-070","General Security","Strong header settings are used","manual"
"CA-REQ-070","General Security","Strong CORs controls are in place","manual"
"CA-REQ-071","General Security","Environment and config variables are securely handled","manual"
"CA-REQ-072","General Security","All database logic is wrapped in at least one exception catch","manual"
"CA-REQ-072","General Security","Exceptions exposed are safe","manual"
"CA-REQ-073","General Security","Database transactions are abstracted via use of an ORM","manual"
"CA-REQ-074","General Security","Safe financial data handling","code review (talk aloud)"
